folder_name,job_name,timestamp
BraTS2021_00005,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00012,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00030,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00031,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00033,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00043,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00046,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00047,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00059,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00061,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00068,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00077,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00079,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00084,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00085,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00089,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00090,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00096,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00097,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00100,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00103,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00119,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00128,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00130,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00132,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
BraTS2021_00134,batches/uwd5yvxc64s7k96ej5ndmtpgytr2f1t8mwha,2026-06-01T15:28:33
